-178905619687.500000: -2968 -2968
-126673939335.937500: -5957 -5957
-74211859335.937500: 7437 7437
-22533139335.937500: 4505 4506
29306860664.062500: 1574 1574
81423340664.062500: -1356 -1355
133793260664.062500: -4284 -4284
187430380664.062500: -7267 -7266
-136120339335.937500: 6136 6137
-82990099335.937500: 3213 3213
-29698579335.937500: 290 291
23708140664.062500: -2630 -2629
77391340664.062500: -5548 -5548
131327980664.062500: 7918 7918
185587180664.062500: 5001 5001
-137410578984.375000: 2084 2085
-82805779335.937500: -831 -831
-28085779335.937500: -3743 -3743
27855341015.625000: -6709 -6708
82967020664.062500: 6765 6765
138332140664.062500: 3855 3855
-183559699335.937500: 946 946
-127710739335.937500: -1958 -1957
-70617619335.937500: -4917 -4917
-13455378984.375000: -7876 -7875
43868140664.062500: 5551 5551
100270060664.062500: 2652 2652
156902381015.625000: -246 -246
-163837459335.937500: -3146 -3146
-105914898984.375000: -6097 -6096
-47808019335.937500: 7339 7339
9377260664.062500: 4445 4445
66746860664.062500: 1552 1553
124300781015.625000: -1336 -1335
183121901015.625000: -4279 -4279
-135406098984.375000: -7222 -7221
-76285459335.937500: 6221 6222
-18109458984.375000: 3337 3338
40204781015.625000: 453 454
98703340664.062500: -2426 -2426
157363181015.625000: -5305 -5304
-160375699335.937500: 8145 8145
-101514258984.375000: 5271 5271
-42485778984.375000: 2396 2397
16611821015.625000: -477 -476
76008941015.625000: -3345 -3345
135383021015.625000: -6218 -6217
-181324819335.937500: 7245 7245
-121835538984.375000: 4379 4379
-62046738984.375000: 1513 1514
-2304018984.375000: -1347 -1347
57738221015.625000: -4209 -4209
117849580664.062500: -7068 -7068
179112941015.625000: 6402 6403
-138078738984.375000: 3548 3548
-77898258984.375000: 695 695
-17372178984.375000: -2156 -2155
44421101015.625000: -5056 -5056
104970221015.625000: -7907 -7906
167086061015.625000: 5579 5579
-149345298632.812500: 2731 2732
-88450578632.812500: -109 -108
-27486738984.375000: -2952 -2952
35089901367.187500: -5840 -5840
96537581015.625000: 7703 7703
158146541367.187500: 4872 4872
-158008338984.375000: 2034 2034
-96583698984.375000: -793 -793
-34536978632.812500: -3622 -3622
29191661367.187500: -6500 -6500
91952621367.187500: 7061 7061
154759661367.187500: 4236 4236
-160035858984.375000: 1419 1419
-97574418632.812500: -1402 -1402
-33891858632.812500: -4268 -4268
29836781367.187500: -7135 -7134
92367341367.187500: 6434 6435
154943981367.187500: 3631 3631
-159966738632.812500: 821 821
-97413138281.250000: -1984 -1983
-33592338632.812500: -4835 -4834
30205421367.187500: -7693 -7692
92782061367.187500: 5894 5894
155358701718.750000: 3102 3103
-159459858632.812500: 305 306
-96629778281.250000: -2484 -2483
-32509458281.250000: -5316 -5316
31656941367.187500: -8155 -8155
94533101718.750000: 5438 5439
157363181718.750000: 2662 2662
-157086738281.250000: -108 -108
-93496338281.250000: -2885 -2884
-28569618281.250000: -5716 -5716
36633581718.750000: 7848 7848
100385261718.750000: 5095 5096
163975661718.750000: 2331 2331
-149621778281.250000: -433 -433
-85478418281.250000: -3198 -3197
-20206098281.250000: -6002 -6002
44858861718.750000: 7586 7586
109048301718.750000: 4860 4860
173491182070.312500: 2133 2133
-139760658281.250000: -608 -608
-75456018281.250000: -3353 -3353
-9607697929.687500: -6138 -6137
54743021718.750000: 7504 7505
119116782070.312500: 4761 4762
183859182070.312500: 2039 2040
-129000978281.250000: -666 -666
-64373777578.125000: -3368 -3367
1658862070.312500: -6126 -6126
66263022070.312500: 7542 7543
131120622070.312500: 4828 4829
-181416977929.687500: 2116 2116
-116536337929.687500: -594 -593
-51425297929.687500: -3303 -3303
14699502070.312500: -6065 -6064
79856622070.312500: 7611 7611
144967662070.312500: 4900 4900
-167247377929.687500: 2189 2190
-101975057929.687500: -518 -518
-36702737929.687500: -3218 -3218
29905902070.312500: -5949 -5949
95293422070.312500: 7763 7763
160865262421.875000: 5104 5104
-151050257226.562500: 2459 2460
-85432337578.125000: -189 -188
-19814417578.125000: -2838 -2837
47024622773.437500: -5526 -5526
112757742421.875000: -8155 -8155
179665902421.875000: 5546 5546
-131973137226.562500: 2920 2921
-66193937578.125000: 302 302
-276497578.125000: -2317 -2317
65571822773.437500: -4927 -4927
131558382773.437500: -7531 -7530
